Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Nacha Pop,1CdLG4i1rTEOsex2UE0jCH,"['cantautor', 'latin alternative', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",2021-04-03 09:45:24+00:00,Primavera,Pop
Rocío Dúrcal,2uyweLa0mvPZH6eRzDddeB,"['cancion melodica', 'latin pop', 'ranchera']",2021-04-03 09:45:54+00:00,Primavera,Pop
Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"['cantautor', 'spanish pop', 'trova']",2021-04-03 09:45:54+00:00,Primavera,Pop
James Brown,7GaxyUddsPok8BuhxN6OUW,"['funk', 'soul', 'vocal jazz']",2021-04-03 09:46:20+00:00,Primavera,"Jazz, Soul & Blues"
Missy Elliott,2wIVse2owClT7go1WT98tk,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",2021-04-03 09:46:42+00:00,Primavera,"Jazz, Soul & Blues"
La Banda De Lechuga,4fILEHnYOJmHI2Z1VhuWLZ,['cumbia villera'],2021-04-03 09:47:56+00:00,Primavera,Otros
Kevo DJ,4Fr8ee9ec47r9fC8SqiO8z,"['cumbia 420', 'previa']",2021-04-03 09:47:56+00:00,Primavera,Otros
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-04-03 09:48:32+00:00,Primavera,Reggateon
Alex Sensation,0OROVBEZCocg0FcgJpyBse,['reggaeton'],2021-04-03 09:48:32+00:00,Primavera,Reggateon
George Michael,19ra5tSw0tWufvUp8GotLo,"['new wave pop', 'soft rock']",2021-04-03 09:48:41+00:00,Primavera,Otros
Kiki Dee,4vjGlQWexbru6aOUCLTVir,['classic uk pop'],2021-04-03 09:49:16+00:00,Primavera,Otros
Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'rock']",2021-04-03 09:49:16+00:00,Primavera,Rock & Indie
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",2021-04-03 09:49:55+00:00,Primavera,Rock & Indie
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,"['reggae', 'roots reggae']",2021-04-03 09:53:56+00:00,Primavera,Reggae
