Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Pol Granch,1aMt4A5jrQHxDYyC7rXgV0,['spanish pop'],2021-09-01 11:49:27+00:00,Otoño,Pop
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",2021-09-01 11:51:03+00:00,Otoño,Pop
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",2021-09-01 11:51:17+00:00,Otoño,Pop
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,"['modern alternative rock', 'modern rock', 'pop']",2021-09-18 09:57:17+00:00,Otoño,Pop
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,"['album rock', 'classic rock', 'hard rock', 'rock']",2021-09-18 12:30:55+00:00,Otoño,Rock & Indie
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,"['album rock', 'classic rock', 'hard rock', 'rock']",2021-09-18 12:31:14+00:00,Otoño,Rock & Indie
Keane,53A0W3U0s8diEn9RhXQhVz,"['neo mellow', 'piano rock', 'pop rock']",2021-09-18 12:31:54+00:00,Otoño,Rock & Indie
Tony Bennett,2lolQgalUvZDfp5vvVtTYV,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",2021-09-18 12:32:14+00:00,Otoño,Otros
Gilbert O'Sullivan,4HVmeVTQBgvTuvjB1JYwaf,"['bubblegum pop', 'soft rock']",2021-09-18 12:32:35+00:00,Otoño,Otros
Foreigner,6IRouO5mvvfcyxtPDKMYFN,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",2021-09-18 12:33:29+00:00,Otoño,Rock & Indie
Take That,1XgFuvRd7r5g0h844A5ZUQ,"['boy band', 'europop', 'talent show']",2021-09-18 12:33:39+00:00,Otoño,Otros
Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,"['mellow gold', 'soft rock']",2021-09-18 12:33:50+00:00,Otoño,Otros
Robbie Williams,2HcwFjNelS49kFbfvMxQYw,"['dance rock', 'europop']",2021-09-18 12:34:08+00:00,Otoño,Otros
James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],2021-09-18 12:35:16+00:00,Otoño,Rock & Indie
James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],2021-09-18 12:35:25+00:00,Otoño,Rock & Indie
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",2021-09-21 07:33:19+00:00,Otoño,Rock & Indie
Alex Granero,1g3OTLUr6xaFaiB01k9gw2,['NA'],2021-09-22 18:50:40+00:00,Otoño,Otros
Alex Palomo,5TxECyLLsC2j99TueaRT2e,['NA'],2021-09-22 18:50:40+00:00,Otoño,Otros
Alex Palomo,5TxECyLLsC2j99TueaRT2e,['NA'],2021-09-22 18:50:47+00:00,Otoño,Otros
Alex Granero,1g3OTLUr6xaFaiB01k9gw2,['NA'],2021-09-22 18:50:47+00:00,Otoño,Otros
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2021-09-24 13:23:58+00:00,Otoño,Pop
Shouse,2TcGJdSOiOvITBzhvfX8XB,['aussietronica'],2021-09-24 13:23:58+00:00,Otoño,Otros
Los Legendarios,0n6sKrG0xKAf8xmdqeNGke,['NA'],2021-09-24 13:24:18+00:00,Otoño,Otros
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:24:18+00:00,Otoño,Reggateon
Wisin,3E6xrwgnVfYCrCs0ePERDz,"['reggaeton', 'urbano latino']",2021-09-24 13:24:18+00:00,Otoño,Reggateon
Brray,1GKIlPFdcewHtpDVCQ8zmJ,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2021-09-24 13:24:38+00:00,Otoño,Reggateon
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:24:38+00:00,Otoño,Reggateon
Darkiel,4z19QMyPVRwbd4Fs2LisBa,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2021-09-24 13:24:38+00:00,Otoño,Reggateon
Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",2021-09-24 13:24:38+00:00,Otoño,Reggateon
Yannc,3rqKgkODmiyDdimpz5D3y1,['reggaeton flow'],2021-09-24 13:24:38+00:00,Otoño,Otros
Farruko,329e4yvIujISKGKz1BZZbO,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:24:51+00:00,Otoño,Reggateon
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:24:53+00:00,Otoño,Reggateon
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021-09-24 13:24:55+00:00,Otoño,Reggateon
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,"['pop argentino', 'urbano latino']",2021-09-24 13:24:55+00:00,Otoño,Reggateon
Sech,77ziqFxp5gaInVrF2lj4ht,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:24:57+00:00,Otoño,Reggateon
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:25:20+00:00,Otoño,Reggateon
Mr. Naisgai,37BIBvfliXJpSgn10yQUJM,['NA'],2021-09-24 13:25:20+00:00,Otoño,Otros
TINI,7vXDAI8JwjW531ouMGbfcp,"['latin pop', 'latin viral pop', 'pop argentino']",2021-09-24 13:25:23+00:00,Otoño,Pop
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,"['pop argentino', 'urbano latino']",2021-09-24 13:25:23+00:00,Otoño,Reggateon
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:25:25+00:00,Otoño,Reggateon
Mora,0Q8NcsJwoCbZOHHW63su5S,"['trap latino', 'urbano latino']",2021-09-24 13:25:25+00:00,Otoño,Reggateon
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:25:26+00:00,Otoño,Reggateon
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:25:26+00:00,Otoño,Reggateon
Juacko,0LLnP7NEsEQ1pSCfsuYURr,['rap canario'],2021-09-24 13:25:37+00:00,Otoño,Otros
Ptazeta,5UN0rzL594mWY2RbOtZqIN,['rap canario'],2021-09-24 13:25:37+00:00,Otoño,Otros
FARIANA,7cYik4OyfBXYV5Z2TI7p90,"['colombian pop', 'rap latina', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021-09-24 13:25:37+00:00,Otoño,Pop
Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,"['drill espanol', 'trap latino', 'trap triste', 'urbano espanol', 'urbano latino']",2021-09-24 13:25:47+00:00,Otoño,Reggateon
Yay,65UC5VKwU4vBSBSHckQd5l,['NA'],2021-09-24 13:25:47+00:00,Otoño,Otros
Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,['spanish pop'],2021-09-24 13:26:13+00:00,Otoño,Pop
Pol Granch,1aMt4A5jrQHxDYyC7rXgV0,['spanish pop'],2021-09-24 13:26:13+00:00,Otoño,Pop
Christine Baranski,1L4nOFaQKejFy75REi9BKh,['hollywood'],2021-09-24 13:27:03+00:00,Otoño,Otros
Philip Michael,6uA8p0e1AsjT1HpbAyPHko,['NA'],2021-09-24 13:27:03+00:00,Otoño,Otros
Meryl Streep,2HB65P72dFRiOKvbLLcil2,"['hollywood', 'show tunes']",2021-09-24 13:27:13+00:00,Otoño,Otros
Christine Baranski,1L4nOFaQKejFy75REi9BKh,['hollywood'],2021-09-24 13:27:13+00:00,Otoño,Otros
Julie Walters,5Yi0y4bNdc04Oxk9l6nwXa,['hollywood'],2021-09-24 13:27:13+00:00,Otoño,Otros
Amanda Seyfried,5RZjpmuD14JKXvB8Ry1G1u,['hollywood'],2021-09-24 13:27:20+00:00,Otoño,Otros
Rachel McDowall,4rwI0oeb41smcyQzXJctJ9,['movie tunes'],2021-09-24 13:27:20+00:00,Otoño,Otros
Ashley Lilley,4Fo2qgLwTad6ICYbIu7CQR,['movie tunes'],2021-09-24 13:27:20+00:00,Otoño,Otros
Aitana,7eLcDZDYHXZCebtQmVFL25,"['latin talent show', 'latin viral pop', 'spanish pop']",2021-09-24 13:28:06+00:00,Otoño,Pop
zzoilo,7c53ZFyajVMTo08HmvoB6b,['latin pop'],2021-09-24 13:28:06+00:00,Otoño,Pop
Anuel AA,2R21vXR83lH98kGeO99Y66,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2021-09-24 13:28:13+00:00,Otoño,Reggateon
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:28:13+00:00,Otoño,Reggateon
Jc La Nevula,6KBhywwNM5dStjqjHeNndc,"['dominican pop', 'trap dominicano']",2021-09-24 13:28:18+00:00,Otoño,Otros
El Taiger,4PFgfReja3r59JaekHpeuf,"['cubaton', 'reparto']",2021-09-24 13:28:27+00:00,Otoño,Reggateon
DJ Conds,42ppAzaKW3DW3bYRmxd1Dw,"['cubaton', 'reparto']",2021-09-24 13:28:27+00:00,Otoño,Reggateon
Måneskin,0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop']",2021-09-24 13:28:49+00:00,Otoño,Otros
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']",2021-09-24 13:29:11+00:00,Otoño,Otros
Big Mountain,0Jeckitay8SbvKwqAzWuYH,"['reggae', 'reggae fusion']",2021-09-24 13:29:22+00:00,Otoño,Reggae
AC/DC,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']",2021-09-24 13:29:46+00:00,Otoño,Rock & Indie
Culture Club,6kz53iCdBSqhQCZ21CoLcc,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",2021-09-24 13:30:01+00:00,Otoño,Otros
Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,"['reggae', 'reggae fusion']",2021-09-24 13:30:33+00:00,Otoño,Reggae
Nacha Pop,1CdLG4i1rTEOsex2UE0jCH,"['cantautor', 'latin alternative', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",2021-09-24 13:30:50+00:00,Otoño,Pop
Corona,26T6b8maqEVltcmE4kSDUl,"['diva house', 'eurodance', 'europop', 'hip house']",2021-09-24 13:30:58+00:00,Otoño,Otros
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,"['latin pop', 'mexican pop', 'puerto rican pop']",2021-09-24 13:32:01+00:00,Otoño,Pop
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,['rap kreyol'],2021-09-24 13:32:09+00:00,Otoño,Otros
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2021-09-24 13:32:09+00:00,Otoño,Pop
Big Toxic,3axI1ZcY9L4mqqjIUlu8LP,['NA'],2021-09-24 13:32:15+00:00,Otoño,Otros
Fangoria,7CJiKj8TrQSms0WSCKbHm4,"['latin arena pop', 'mexican pop', 'spanish new wave', 'spanish pop', 'spanish synthpop']",2021-09-24 13:32:15+00:00,Otoño,Pop
Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,['tropical'],2021-09-24 13:32:15+00:00,Otoño,Otros
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2021-09-24 13:32:18+00:00,Otoño,Pop
Hombres G,60uh2KYYSCqAgJNxcU4DA0,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",2021-09-24 13:32:23+00:00,Otoño,Pop
Hombres G,60uh2KYYSCqAgJNxcU4DA0,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",2021-09-24 13:32:30+00:00,Otoño,Pop
Kaoma,1LsXqDdYVyONhrjAORENbu,['zouk'],2021-09-24 13:32:35+00:00,Otoño,Otros
Shania Twain,5e4Dhzv426EvQe3aDb64jL,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",2021-09-24 13:32:39+00:00,Otoño,Country
Whigfield,0lHoDF96DNKSIcIpcOfMnq,"['diva house', 'eurodance', 'europop']",2021-09-24 13:32:49+00:00,Otoño,Otros
Wham!,5lpH0xAS4fVfLkACg9DAuM,"['new romantic', 'new wave', 'new wave pop', 'soft rock']",2021-09-24 13:32:56+00:00,Otoño,Otros
Concha Velasco,65wHdzrkQGEUFBFLkte7WO,['NA'],2021-09-24 13:32:59+00:00,Otoño,Otros
Lou Bega,46lnlnlU0dXTDpoAUmH6Qx,['latin pop'],2021-09-24 13:33:26+00:00,Otoño,Pop
Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,"['adult standards', 'australian dance', 'disco', 'mellow gold', 'soft rock']",2021-09-24 13:33:28+00:00,Otoño,EDM & Disco
John Travolta,4hKkEHkaqCsyxNxXEsszVH,['hollywood'],2021-09-24 13:33:28+00:00,Otoño,Otros
Cher,72OaDtakiy6yFqkt4TsiFt,"['dance pop', 'pop']",2021-09-24 13:33:35+00:00,Otoño,Pop
Melendi,1EXjXQpDx2pROygh8zvHs4,"['spanish pop', 'spanish pop rock']",2021-09-24 13:33:47+00:00,Otoño,Pop
Coti,1OUDQLymoysITxprkd0Qvj,"['spanish pop', 'spanish pop rock']",2021-09-24 13:33:54+00:00,Otoño,Pop
Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,"['argentine rock', 'cantautor', 'latin alternative', 'pop argentino', 'rock en espanol']",2021-09-24 13:33:54+00:00,Otoño,Pop
Orquesta Poncela,7rxppzDpxDh9hXUKsq6KZs,['orquestas de galicia'],2021-09-24 13:33:56+00:00,Otoño,Otros
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['dance pop', 'pop', 'urban contemporary']",2021-09-24 13:34:06+00:00,Otoño,Pop
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2021-09-24 13:34:12+00:00,Otoño,Pop
Bongo Botrako,6XcqNunmoXrhbq6rAYgFxJ,"['reggae catala', 'ska catala']",2021-09-24 13:34:49+00:00,Otoño,Otros
Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,"['flamenco', 'rumba', 'world']",2021-09-24 13:35:03+00:00,Otoño,Flamenco
Objetivo Miami,7llrJSgoamAfp4C717u7s2,['NA'],2021-09-24 13:35:08+00:00,Otoño,Otros
Estopa,5ZqnEfVdEGmoPxtELhN7ai,"['pop flamenco', 'rumba', 'spanish pop']",2021-09-24 13:35:19+00:00,Otoño,Pop
Celtas Cortos,3hIPQBm8PBt8B5aahP6cVP,"['cantautor', 'celtic rock', 'latin alternative', 'musica pitiusa', 'spanish new wave', 'spanish pop']",2021-09-24 13:35:25+00:00,Otoño,Pop
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:35:59+00:00,Otoño,Reggateon
Mixeos Djs,0cf6zXqPrHwbNhipNooMWQ,['circuit'],2021-09-24 13:36:28+00:00,Otoño,Otros
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:36:34+00:00,Otoño,Reggateon
Swagger,1sURTajDmmwOfNZToMoou5,['NA'],2021-09-24 13:36:34+00:00,Otoño,Otros
Vegedream,4eYnorQRhVHT2KBl2UyHHd,"['french hip hop', 'pop urbaine', 'r&b francais']",2021-09-24 13:36:38+00:00,Otoño,Otros
MHD,4WnAHZz1pgl8hus8hidIRV,"['french hip hop', 'pop urbaine', 'r&b francais']",2021-09-24 13:36:43+00:00,Otoño,Otros
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:36:48+00:00,Otoño,Reggateon
2 Eivissa,3gkV8EZ8pE0eCwyLeUNwzE,"['eurodance', 'hip house']",2021-09-24 13:37:00+00:00,Otoño,Otros
The Magician,4WUGQykLBGFfsl0Qjl6TDM,"['belgian edm', 'house', 'nu disco']",2021-09-24 13:37:12+00:00,Otoño,EDM & Disco
Lykke Li,6oBm8HB0yfrIc9IHbxs6in,"['art pop', 'electropop', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",2021-09-24 13:37:12+00:00,Otoño,EDM & Disco
Mad Mark,3yBEHAINorE3uSvsCmyCwQ,['NA'],2021-09-24 13:37:43+00:00,Otoño,Otros
DJ Antoine,6yTYR09WCvsgdnurDW4WQo,"['nordic house', 'pop house']",2021-09-24 13:37:43+00:00,Otoño,Otros
Kalenna,2NoFr6doacvN58q9p9EFky,['NA'],2021-09-24 13:37:43+00:00,Otoño,Otros
Timati,3oLccEy7y6zTe1gCFHxuWr,"['russian dance', 'russian gangster rap', 'russian hip hop', 'russian pop']",2021-09-24 13:37:43+00:00,Otoño,Otros
Easy-S,4oNsvVnFz4HQ0UPpPFSuJX,"['spanish hip hop', 'urbano espanol']",2021-09-24 13:38:23+00:00,Otoño,Reggateon
J.Moods,7q3hzOFspDedtkyBi1Azc8,['boom bap espanol'],2021-09-24 13:38:23+00:00,Otoño,Otros
Delaossa,5Uox3n7m4W2CoM9MmHPJwQ,"['boom bap espanol', 'rap canario', 'spanish hip hop', 'urbano espanol']",2021-09-24 13:38:23+00:00,Otoño,Reggateon
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:38:36+00:00,Otoño,Reggateon
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:38:40+00:00,Otoño,Reggateon
Anuel AA,2R21vXR83lH98kGeO99Y66,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2021-09-24 13:38:40+00:00,Otoño,Reggateon
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop']",2021-09-24 13:38:46+00:00,Otoño,Pop
Don Omar,33ScadVnbm2X8kkUqOkC6Z,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:39:04+00:00,Otoño,Reggateon
Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",2021-09-24 13:39:17+00:00,Otoño,EDM & Disco
Tainy,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:44:02+00:00,Otoño,Reggateon
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:44:02+00:00,Otoño,Reggateon
CNCO,0eecdvMrqBftK0M1VKhaF4,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']",2021-09-24 13:44:08+00:00,Otoño,Pop
a-ha,2jzc5TC5TVFLXQlBNiIUzE,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",2021-09-24 13:44:26+00:00,Otoño,Otros
El Boch,4GAe5lMrh9jIIsUEkn21X8,['NA'],2021-09-24 13:45:06+00:00,Otoño,Otros
Os Almirantes,74ReARocd6ltxnTFfPaEGL,"['panamanian pop', 'panamanian rock']",2021-09-24 13:45:06+00:00,Otoño,Otros
Latin Fresh,1NRrKr08wLdYUdSOnNDs7M,['panamanian pop'],2021-09-24 13:45:06+00:00,Otoño,Otros
Wisin,3E6xrwgnVfYCrCs0ePERDz,"['reggaeton', 'urbano latino']",2021-09-24 13:45:13+00:00,Otoño,Reggateon
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:45:13+00:00,Otoño,Reggateon
El Combo Perfecto,0A4y098FlxOT3han3D0o9j,['electro bailando'],2021-09-24 13:45:18+00:00,Otoño,Otros
La Mafia del Amor,58BvN1pGtlKYP897Qsq5QA,['urbano espanol'],2021-09-24 13:45:18+00:00,Otoño,Reggateon
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:45:25+00:00,Otoño,Reggateon
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:45:25+00:00,Otoño,Reggateon
Sasha Lopez,3ZASW3RrHBbSRkNLjOrAFF,"['romanian house', 'romanian pop']",2021-09-24 13:45:30+00:00,Otoño,Otros
Mika Noble,6dzrVFU3mirH21EyTQiBQ5,['NA'],2021-09-24 13:45:44+00:00,Otoño,Otros
Sickluv,0VKlKyeBQek2wH0MTxUuWe,['NA'],2021-09-24 13:45:44+00:00,Otoño,Otros
TV Soundtrack Orchestra,2ykfeSSVCXLSsyTpVndL9g,['NA'],2021-09-24 13:45:49+00:00,Otoño,Otros
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:48:46+00:00,Otoño,Reggateon
Kobi Cantillo,3eAw8vSPkVqu0VfSZxv79h,['NA'],2021-09-24 13:48:54+00:00,Otoño,Otros
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,"['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']",2021-09-24 13:48:54+00:00,Otoño,Reggateon
Noro,6w1Lc9aPSM2m4eGqDWoKkA,['lithuanian edm'],2021-09-24 13:49:30+00:00,Otoño,Otros
BROHM,33cjmfhkyHbulkQwkuxe3i,"['covertronica', 'slap house']",2021-09-24 13:49:30+00:00,Otoño,Otros
Atomic Otro Way,05i5DIXDf4Ai4NEPEi3uBZ,"['dembow', 'rap dominicano']",2021-09-24 13:50:14+00:00,Otoño,Otros
Jc La Nevula,6KBhywwNM5dStjqjHeNndc,"['dominican pop', 'trap dominicano']",2021-09-24 13:50:14+00:00,Otoño,Otros
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:50:17+00:00,Otoño,Reggateon
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021-09-24 13:50:17+00:00,Otoño,Reggateon
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 13:50:17+00:00,Otoño,Reggateon
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2021-09-24 13:50:55+00:00,Otoño,Hip hop
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']",2021-09-24 13:50:55+00:00,Otoño,Pop
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",2021-09-24 14:07:08+00:00,Otoño,Pop
Fabbio,0qKIWMnkTnpE06eoKG7Pf4,['NA'],2021-09-24 14:11:46+00:00,Otoño,Otros
Omar Montes,3lY9Fxceu60W1rbon7PkuF,"['flamenco urbano', 'urbano espanol']",2021-09-24 14:11:46+00:00,Otoño,Reggateon
Lennis Rodriguez,4Rzu63KnqMsThOdfkrJk1Z,['NA'],2021-09-24 14:11:46+00:00,Otoño,Otros
Chus Santana,7HIHZP9kQCofu07j5Xj590,['NA'],2021-09-24 14:11:46+00:00,Otoño,Otros
Estopa,5ZqnEfVdEGmoPxtELhN7ai,"['pop flamenco', 'rumba', 'spanish pop']",2021-09-24 14:12:20+00:00,Otoño,Pop
El Vega Life,4x3Vb1a9yggcqEuRljiLeB,['musica canaria'],2021-09-24 14:12:53+00:00,Otoño,Otros
DJ Nelson,2ydZrTy8U3kOMOzx20s3dg,"['reggaeton', 'urbano latino']",2021-09-24 14:13:09+00:00,Otoño,Reggateon
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:13:09+00:00,Otoño,Reggateon
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:13:09+00:00,Otoño,Reggateon
Daviles de Novelda,6E94QKXZv8BbO6QQJxcxLI,"['flamenco urbano', 'pop flamenco']",2021-09-24 14:14:10+00:00,Otoño,Otros
Chema Rivas,1tMWkquIkQtVD6vaZlDbSQ,['electro latino'],2021-09-24 14:14:18+00:00,Otoño,Otros
Juan Magán,1ackd5XprZEkH3McKbQD51,"['electro latino', 'spanish pop']",2021-09-24 14:14:37+00:00,Otoño,Pop
Chema Rivas,1tMWkquIkQtVD6vaZlDbSQ,['electro latino'],2021-09-24 14:14:37+00:00,Otoño,Otros
Boza,2NfSBtmWe7oPw1EmetJVso,"['panamanian pop', 'reggaeton', 'urbano latino']",2021-09-24 14:15:16+00:00,Otoño,Reggateon
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:28+00:00,Otoño,Reggateon
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021-09-24 14:15:28+00:00,Otoño,Reggateon
Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:28+00:00,Otoño,Reggateon
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:34+00:00,Otoño,Reggateon
Zion & Lennox,21451j1KhjAiaYKflxBjr1,"['reggaeton', 'urbano latino']",2021-09-24 14:15:34+00:00,Otoño,Reggateon
Chimbala,4VVEpEhC8NcR7AqNEds42U,"['dembow', 'rap dominicano']",2021-09-24 14:15:34+00:00,Otoño,Otros
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",2021-09-24 14:15:36+00:00,Otoño,Pop
Myke Towers,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:36+00:00,Otoño,Reggateon
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:47+00:00,Otoño,Reggateon
Sech,77ziqFxp5gaInVrF2lj4ht,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-09-24 14:15:47+00:00,Otoño,Reggateon
Kiko Veneno,5TDssiSO1YPd3BINGZx3XP,"['cantautor', 'flamenco', 'flamenco fusion', 'rock andaluz', 'rumba', 'spanish new wave']",2021-09-24 14:17:03+00:00,Otoño,Flamenco
C. Tangana,5TYxZTjIPqKM8K8NuP9woO,['urbano espanol'],2021-09-24 14:17:03+00:00,Otoño,Reggateon
Alberto Gambino,2KaaIknCVW5SstugreNkha,['spanish hip hop'],2021-09-24 14:19:50+00:00,Otoño,Hip hop
